#ecut #kpoint #total_energy
60 4 -1265.99473342
60 6 -1265.98830584
60 8 -1265.98756527
60 10 -1265.98914738
60 12 -1265.98915602
60 14 -1265.98858389
60 16 -1265.98880628
70 4 -1265.99783840
70 6 -1265.99141391
70 8 -1265.99067578
70 10 -1265.99225622
70 12 -1265.99226654
70 14 -1265.99169500
70 16 -1265.99191675
80 4 -1265.99865633
80 6 -1265.99223213
80 8 -1265.99149411
80 10 -1265.99307497
80 12 -1265.99308493
80 14 -1265.99251334
80 16 -1265.99273528
90 4 -1265.99936344
90 6 -1265.99293840
90 8 -1265.99220000
90 10 -1265.99378065
90 12 -1265.99379081
90 14 -1265.99321918
90 16 -1265.99344115
100 4 -1265.99958147
100 6 -1265.99315745
100 8 -1265.99241894
100 10 -1265.99399976
100 12 -1265.99400982
100 14 -1265.99343818
100 16 -1265.99366016
110 4 -1265.99960035
110 6 -1265.99317633
110 8 -1265.99243783
110 10 -1265.99401863
110 12 -1265.99402870
110 14 -1265.99345707
110 16 -1265.99367904
120 4 -1265.99960644
120 6 -1265.99318244
120 8 -1265.99244392
120 10 -1265.99402472
120 12 -1265.99403480
120 14 -1265.99346316
120 16 -1265.99368513


